"","Minimum","Median","Mean","Maximum","Std. Deviation","Observations"
"Depth",0.089,2.699,2.69919871565783,5.1287841796875,1.0606338017026,29675
"Temperature",-1.97,9.9677412109375,9.79772375042031,23,6.16071790349028,29926
"Salinity",22.98,30.23,30.1738066342167,32.76,1.07321645165252,29452
"DO (mg/l)",5.36923837661743,9.81,9.93923784095677,14.4387035369873,1.54875549286834,29353
"Percent Saturation",67.2492980957031,103.8,104.49918564176,146.2,9.63561938668335,29353
"Chlorophyll-a",-0.25,5.21,7.49290953818239,130.76,7.65504921642261,29584
"pH (NMS)",7.72,8.06,8.06584675711762,8.38,0.0937723534215941,29358
"pH (Total, calculated)",7.60014759650834,7.94739913860961,7.95310002011937,8.27658301449494,0.0998796784140666,29356
"pCO2",132.330184,406.294953,416.664070378763,1037.794175,121.261585784086,19466
"pCO2_corr",176.525372639966,436.320329599955,449.906159706673,1097.77203004609,96.3835766261217,19466
"Total Alkalinity",779.172973632812,1724.38372802734,1761.59162945318,4598.05615234375,338.145723139964,19466
"Dissolved Inorganic Carbon",756.168884277344,1622.71850585938,1657.0906837657,4382.7275390625,314.167047216048,19466
"Omega Aragonite",0.243105765955156,1.10591072038081,1.18750705705322,4.14642681945867,0.423831967345668,19465
